State,PctMinority
Alabama,39
Alaska,40
Arizona,51
Arkansas,31
California,67
Colorado,35
Connecticut,39
Delaware,23
DistColumbia,53
Florida,52
Georgia,51
Hawaii,75
Idaho,20
Illinois,42
Indiana,23
Iowa,16
Kansas,27
Kentucky,17
Louisiana,45
Maine,8
Maryland,52
Massachusetts,31
Michigan,28
Minnesota,23
Mississippi,48
Missouri,23
Montana,15
Nebraska,23
Nevada,54
NewHampshire,11
NewJersey,51
NewMexico,67
NewYork,48
NorthCarolina,41
NorthDakota,15
Ohio,23
Oklahoma,37
Oregon,27
Pennsylvania,26
RhodeIsland,31
SouthCarolina,41
SouthDakota,19
Tennessee,30
Texas,61
Utah,22
Vermont,8
Virginia,41
Washington,34
WestVirginia,9
Wisconsin,22
Wyoming,18
